,index,to_address,from_address,value,gas,block_timestamp,time_b/w_trans,type_of_trans,malicious
274,79,0x59728544b08ab483533076417fbbb2fd0b17ce3a,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0,285265,2022-02-20T12:14:05.000Z,21,1,0
275,78,0x59728544b08ab483533076417fbbb2fd0b17ce3a,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0,285303,2022-02-20T12:14:41.000Z,36,1,0
276,77,0x59728544b08ab483533076417fbbb2fd0b17ce3a,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0,263051,2022-02-20T12:14:55.000Z,14,1,0
277,76,0x59728544b08ab483533076417fbbb2fd0b17ce3a,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0,285287,2022-02-20T12:16:45.000Z,110,1,0
278,75,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0x6bd3f81a9a8adb4cb0ad56802c89576d242e4086,0,24472,2022-02-20T12:16:45.000Z,0,0,0
279,74,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0x6bd3f81a9a8adb4cb0ad56802c89576d242e4086,0,24472,2022-02-20T12:16:45.000Z,0,0,0
280,73,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0x6bd3f81a9a8adb4cb0ad56802c89576d242e4086,0,24472,2022-02-20T12:17:12.000Z,27,0,0
281,72,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0x6bd3f81a9a8adb4cb0ad56802c89576d242e4086,0,24472,2022-02-20T12:17:44.000Z,32,0,0
282,71,0xed5af388653567af2f388e6224dc7c4b3241c544,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0,46189,2022-02-20T12:17:50.000Z,6,1,0
283,70,0x0fc584529a2aefa997697fafacba5831fac0c22d,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0,737699,2022-02-20T12:18:17.000Z,27,1,0
284,69,0x0fc584529a2aefa997697fafacba5831fac0c22d,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0,1038285,2022-02-20T12:19:30.000Z,73,1,0
285,68,0x3e0defb880cd8e163bad68abe66437f99a7a8a74,0x6bd3f81a9a8adb4cb0ad56802c89576d242e4086,8.00E-07,24472,2022-02-20T12:20:42.000Z,72,0,0
