,Source,Target,Weight,Type
514,CodeMonkeyZ,JORGEMA77376542,2,Directed
515,HowleyReporter,AllAmericanMaIe,2,Directed
516,CodeMonkeyZ,DullDianna,2,Directed
517,danielchaitin7,ColroColr,2,Directed
518,EmeraldRobinson,rebeccajoc,2,Directed
519,CodeMonkeyZ,VAGirlForever,2,Directed
520,LLinWood,PatchouliJim,2,Directed
521,CodeMonkeyZ,iloveparis__,2,Directed
522,RedWingGrips,JOSECOWBOYS17,2,Directed
523,EmeraldRobinson,Kimbermac2,2,Directed
524,LLinWood,neloawaken,2,Directed
525,realDonaldTrump,MikeB44626685,2,Directed
526,marklevinshow,budwell38,2,Directed
527,realDonaldTrump,Mike07407818,2,Directed
528,EpochTimes,Somewhe25118085,2,Directed
529,EmeraldRobinson,dedepink333,2,Directed
530,EmeraldRobinson,PatriciaErnst14,2,Directed
531,EmeraldRobinson,Kimberl97967825,2,Directed
532,realDonaldTrump,UsherCheng,2,Directed
533,EmeraldRobinson,debfitzpatrick3,2,Directed
534,CodeMonkeyZ,Pat85086898,2,Directed
535,EmeraldRobinson,DuckFanbcs14,2,Directed
536,realDonaldTrump,SoulSucker72,2,Directed
537,NikolovScience,JPrincess78,2,Directed
538,CodeMonkeyZ,Soul1587,2,Directed
539,realDonaldTrump,immamajojo,2,Directed
540,LouDobbs,butchy7575,2,Directed
541,realDonaldTrump,ulastopal78,2,Directed
542,Ramnier,busterhab,2,Directed
543,EmeraldRobinson,kitgiv,2,Directed
544,LLinWood,Dukeof2020,2,Directed
545,LLinWood,DudshaDudsha1,2,Directed
546,LLinWood,UsNicoletta,2,Directed
547,LLinWood,ufgaaumj9023939,2,Directed
548,EmeraldRobinson,ComeySUX,2,Directed
549,EmeraldRobinson,ComeAndTweetIt,2,Directed
550,LLinWood,uclegalgirl,2,Directed
551,LLinWood,PatMann1,2,Directed
552,deblume,deblume,2,Directed
553,CodeMonkeyZ,kilalaci1,2,Directed
554,EmeraldRobinson,SquareBlair,2,Directed
555,gatewaypundit,PedenMary,2,Directed
556,marklevinshow,rawoods24,2,Directed
557,LouDobbs,AdamantiumJoe,2,Directed
558,EmeraldRobinson,CraftyAuntieEm,2,Directed
559,EmeraldRobinson,carlocwec,2,Directed
560,EmeraldRobinson,carlbogart54,2,Directed
561,CodeMonkeyZ,Adbb037,2,Directed
562,MichaelCoudrey,noahmitchell07,2,Directed
563,gatewaypundit,Kelli_Cailin,2,Directed
564,EmeraldRobinson,dawnbuesing,2,Directed
565,realDonaldTrump,JaeBrox2,2,Directed
566,EmeraldRobinson,PLHCrawford,2,Directed
